,f_MUNICIPIO_COD,f_MUNICIPIO,ANO,MES,ANOMES,REGIAO,HOMOCIDIO_DOLOSO,LESAO_CORPORAL_MORTE,LATROCINIO,CVLI,HOMOCIDIO_POR_INTERVENCAO_POLICIAL,LETALIDADE_VIOLENTA,TENTATIVA_HOMICIDIO,ESTUPRO,HOMICIDIO_CULPOSP,LESAO_CORPORAL_DOLOSA,LESAO_CORPORAL_CULPOSA,ROUBO_TRANSEUNTE,ROUBO_CELULAR,ROUBO_EM_COLETIVO,ROUBO_EM_RUA,ROUBO_VEICULO,ROUBO_DE_CARGA,ROUBO_COMERCIO,ROUBO_RESIDENCIAL,ROUBO_BANCO,ROUBO_CAIXA_ELETRONICO,ROUBO_CONSUCAO_SAQUE,ROUBO_APOS_SAQUE,ROUBO_BICICLETA,OUTROS_ROUBOS,TOTAL_ROUBOS,FURTO_VEICULOS,FURTO_TRANSEUNTE,FURTO_EM_COLETIVO,FURTO_CELULAR,FURTO_BICILETA,OUTROS_FURTOS,TOTAL_FURTOS,SEQUESTRO,EXTORSAO,SEQUESTRO_RELAMPAGO,ESTELIONATO,APREENSAO_DROGAS,POSSE_DROGAS,TRAFICO_DROGAS,APREENSAO_DROGAS_SEM_AUTOR,RECUPERACAO_VEICULOS,APF,AAAPAI,CMP,CMBA,AMEACA,PESSOAS_DESAPARECIDAS,ENCONTRO_CADAVER,ENCONTRO_OSSADA,POLICIAL_MILITAR_MORTO_SERVICO,POLICIAL_CIVIL_MORTO_SERVICO,REGISTRO_OCORRENCIAS,FASE
33,3302254,ITATIAIA,2014,1,201401,INTERIOR,0,0,0,0,0,0,2,23,3,0,5,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,2,1,3,0,24,31,0,0,0,2,125,114,13,0,4,24,2,12,0,17,0,0,0,0,0,280,3
34,3302270,JAPERI,2014,1,201401,BAIXADA FLUMINENSE,5,0,0,5,0,5,5,72,4,0,8,7,0,2,9,1,0,0,0,0,0,0,0,0,4,14,2,3,1,2,0,22,30,0,0,0,2,21,4,16,2,3,16,9,10,0,50,3,1,0,0,0,298,3
35,3302304,LAJE DO MURIAÉ,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,1,0,0,1,0,1,0,6,0,0,0,0,0,28,3
36,3302403,MACAÉ,2014,1,201401,INTERIOR,10,0,0,10,3,13,19,86,26,4,60,66,7,3,76,42,4,19,0,0,0,0,0,0,11,151,36,20,7,13,0,169,246,0,4,0,32,25,10,16,1,23,38,14,12,0,92,9,1,0,0,0,886,3
37,3302452,MACUCO,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
38,3302502,MAGÉ,2014,1,201401,BAIXADA FLUMINENSE,15,0,0,15,0,15,18,187,5,1,41,39,2,5,46,18,0,8,0,0,0,1,2,0,14,89,34,17,3,8,0,83,145,0,2,0,22,14,3,7,4,32,50,11,23,1,155,13,2,0,0,0,868,3
39,3302601,MANGARATIBA,2014,1,201401,INTERIOR,2,0,0,2,0,2,3,29,1,0,21,3,0,1,4,4,0,1,0,0,0,0,0,0,1,9,7,4,0,7,0,30,49,0,0,0,2,4,3,1,0,5,10,3,2,0,38,0,1,1,0,0,181,3
40,3302700,MARICÁ,2014,1,201401,GRANDE NITERÓI,6,0,0,6,0,6,4,77,2,9,65,16,1,0,17,14,0,5,2,0,0,0,1,0,2,41,19,7,4,8,0,102,140,0,2,0,20,14,2,12,0,16,25,9,13,0,103,7,0,0,0,0,573,3
41,3302809,MENDES,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,10,0,0,0,5,2,2,0,0,0,0,0,1,0,7,0,2,0,0,0,53,3
42,3302858,MESQUITA,2014,1,201401,BAIXADA FLUMINENSE,4,0,0,4,0,4,7,111,11,2,17,100,0,2,102,53,3,16,4,0,0,0,0,0,2,180,32,19,11,6,0,75,143,0,2,0,14,10,0,9,1,26,20,6,9,0,108,15,1,0,0,0,717,3
43,3302908,MIGUEL PEREIRA,2014,1,201401,INTERIOR,2,0,0,2,0,2,1,21,1,2,11,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,3,0,0,0,0,18,21,0,0,0,2,4,1,3,0,0,11,2,3,0,22,0,0,0,0,0,114,3
44,3303005,MIRACEMA,2014,1,201401,INTERIOR,0,0,0,0,2,2,0,10,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,2,27,22,3,2,1,9,0,0,0,22,1,0,0,0,0,95,3
45,3303104,NATIVIDADE,2014,1,201401,INTERIOR,0,0,0,0,0,0,0,7,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,8,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,47,3
46,3303203,NILÓPOLIS,2014,1,201401,BAIXADA FLUMINENSE,9,0,1,10,0,10,7,105,3,0,13,116,17,1,134,71,5,14,3,0,0,0,3,0,14,244,13,31,8,11,0,90,153,0,0,0,24,9,2,5,3,34,13,5,10,0,139,1,0,0,0,0,893,3
